,과거 답변 참고 → 과기부 내선안내,,,,
문의 유형 ,문의내용 요약,문의내용 (원본),25 문의 답변 <권고 답변(예)>,관련 자료 안내,문의 카테고리
클라우드 관련 정책 및 법·제도 해석 지원,SaaS 사용 시 CSAP 인증 필수 여부,"상용SW를 SaaS로 사용할 경우 CSAP 인증을 받은 SaaS 제품 선택 여부, SaaS 선택시 반드시 CSAP 인증 제품 선택 여부","<클라우드컴퓨팅법>과 행정안전부의 지침에 의거하여 상용 SaaS를 도입할 떄 CSAP 인증을 받은 제품을 원칙적으로 사용해야 됩니다.
CSAP 인증 제품 현황은 KISA 클라우드 보안인증제 인증발급현황과 민간 SaaS 연계공통기반 자료실에서 월 별 CSAP 인증을 받는 SaaS 목록을 확인하실 수 있습니다.","1. 민간 SaaS 연계공통기반 홈페이지 > 자료실 > 매달 CSAP 인증 업데이트 (SaaS.go.kr)
2. KISA 클라우드 보안인증제 연도별 인증서 발급현황 확인 (isms.kisa.or.kr/)",인증 및 보안
클라우드 관련 정책 및 법·제도 해석 지원,클라우드 전환 도입 유형 문의,클라우드 전환을 위한 도입 유형 문의,"클라우드 전환 도입 유형과 관련된 내용은 <행정공공기관 클라우드컴퓨팅서비스 이용안내서>, <클라우드 네이티브 구축·운영 가이드>에서 참고해주시길 바랍니다.","클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서
클라우드전문지원센터 > 자료실 > 클라우드 네이티브 구축운영 가이드",도입 방식 및 절차
클라우드 지원사업 문의,정부 지원 클라우드 컨설팅 문의,현재 국가가 지원하는 클라우드 전환 관련 컨설팅을 받을 수 있는가?,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,컨설팅 및 지원 제도
클라우드 지원사업 문의,민간 컨설팅 기업 소개 요청,클라우드 전환 관련 컨설팅을 해주는 민간 기업을 소개받고 싶음,디지털서비스 이용지원시스템에서 클라우드 컨설팅 기업을 검색하여 확인할 수 있습니다.,디지털서비스 이용지원시스템(digitalmarket.kr)에서 검색 가능,컨설팅 및 지원 제도
클라우드 지원사업 문의,클라우드 서비스 이용검토 대응 방법,클라우드 컴퓨팅 서비스 이용검토를 하라는 요청이 왔다. 어떻게 해야 하는가?,<행정공공기관 클라우드컴퓨팅서비스 이용안내서> 12p부터 이용검토 관한 절차가 안내되어있어 참고하시기 바랍니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,디지털서비스 이용지원시스템
클라우드 관련 정책 및 법·제도 해석 지원,SaaS 보안성 검토 필요 여부,청사관리시스템 SaaS를 도입하고자 함. 보안성 검토는 받는게 맞는가?,"<클라우드컴퓨팅법>과 행정안전부의 지침에 의거하여 상용 SaaS를 도입할 떄 CSAP 인증을 받은 제품을 원칙적으로 사용해야 됩니다.
인증이 없을 경우 보안성 검토를 받아야되는데, 보안성 검토는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 40p부터 절차가 안내되어있고 해당 기관 보안 담당자 혹은 정보화 담당자에게 문의해주시기 바랍니다. CSAP 인증을 부여받았다면, 보안성 검토 절차는 간소화 될 수 있습니다.","1. 국가법령정보센터에서 관련 법제도 확인 가능
2. 클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서",인증 및 보안
비용 및 예산 문의 문의,예산에 개발비+장비비 포함 가능 여부,"사업예산편성에 있어 개발비용만 포함되는지, 개발+장비비용(국자원)도 같이 포함되는지?",<행정공공기관 클라우드컴퓨팅서비스 이용안내서> 53p에 예산 산정과 관련된 내용을 참고하실 수 있습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,예산 및 비용
비용 및 예산 문의 문의,클라우드 서비스 연계 및 구매 방안,시스템 개발 비용이 많이들어서 민간업체 패키지 상품을 커스터마이징하여 공단과 연계해 사용하고자함. 가진자료를 클라우드와 연계하고 싶으며 패키지 상품으로 구매하고 싶음,<행정공공기관 클라우드컴퓨팅서비스 이용안내서>에 클라우드 전환 및 도입에 대한 전반적인 내용에 관련하여 안내하고 있으니 참고하시기 바랍니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,예산 및 비용
기타 서비스 관련 문의,클라우드 업체 정보 소개,공공클라우드 지원센터에서 가진 클라우드 업체 리스트 받고싶음,CSAP 인증 제품 현황은 KISA 클라우드 보안인증제 인증발급현황과 민간 SaaS 연계공통기반 자료실에서 월 별 CSAP 인증을 받는 SaaS 목록을 확인하실 수 있습니다.,"1. 민간 SaaS 연계공통기반 홈페이지 > 자료실 > 매달 CSAP 인증 업데이트 (SaaS.go.kr)
2. KISA 클라우드 보안인증제 연도별 인증서 발급현황 확인 (isms.kisa.or.kr/)",클라우드 업체 정보
클라우드 지원사업 문의,21년 전환 사업 결과 시스템 전환 내역,21년 행정공공기관 전환사업으로 302개 시스템 전환에 대한 내역 요청,외부반출이 불가한 자료입니다.,,과거 사업 관련 문의
클라우드 관련 정책 및 법·제도 해석 지원,공공클라우드 센터 운영 사례 문의,"공공기관, 광역지차제에서 공공클라우드 센터를 지정하여 운영한 케이스가 있는지 문의 및 내역 요청",<행정기관 및 공공기관 행정기관 및 공공기관 정보자원 통합기준기준>과 <행정기관 및 공공기관의 클라우드컴퓨팅서비스 이용기준 및 안전성 확보 등에 관한 고시> 개정됨에 따라 공공클라우드센터를 별도로 지정하지 않고 있습니다.,,공공클라우드 센터 관련 문의
기타 서비스 관련 문의,지원센터 회원가입 오류 내용,공공클라우드 지원센터 회원가입 시 네이버 인증오류발생에 대한 확인 요청(토스 등 다른 인증은 질의자가 사용하지 않음),디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,공공 클라우드 지원센터
기타 서비스 관련 문의,수의계약 진행 관련 문의,"수의계약(서비스 몰에 조회되는 업체) 진행 관련 문의. 자체적으로 수의계약 진행 시 필요한 서류 문의. 일반적으로 수의계약 진행 시 견,타견적서를 구비하는데 클라우드 서비스의 경우 비교견적을 받는게 의미없음. 어떻게 서류구비를 하는가?",계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
비용 및 예산 문의 문의,클라우드 도입/전환 비용산정 문의,기관 자체망을 클라우드 시스템으로 전환하고자 함. 이에 따라 발생하는 비용산정 문의,"클라우드 전환사업의 전환비 산정 기준에 따라 전환비를 산정하고 있으며, 클라우드 이용료는 상세설계 결과를 기준으로 클라우드 서비스 제공자(CSP)에서 이용료를 산정하고 있습니다.",,예산 및 비용
클라우드 관련 정책 및 법·제도 해석 지원,클라우드 전환 의무사항 여부,2025년까지 클라우드 전환이 의무사항인가?,"~2030년 시스템 구축 및 고도화 시, 불가피한 사유가 없는 한 클라우드 네이티브 및 SaaS를 적용을 의무적으로 진행해야합니다.",,클라우드 전환 의무 여부
클라우드 관련 기술 문의,공공클라우드 센터 구축 문의,기관에서 사용하는 내부망을 공공클라우드로 전환하고자 함. 공공클라우드 센터 구축 관련 문의,<행정기관 및 공공기관 정보자원 통합기준>과 <행정기관 및 공공기관의 클라우드컴퓨팅서비스 이용 기준 및 안전성 확보 등에 관한 고시> 관련 2개 고시가 개정됨에 따라 공공클라우드센터를 별도로 지정하지 않으니 참고하시기 바랍니다.,국가법령정보센터에서 관련 법제도 확인 가능,공공클라우드 센터 관련 문의
클라우드 관련 정책 및 법·제도 해석 지원,클라우드 서비스 이용 문의,기관에서 클라우드서비스를 이용하고자 함,"CSAP 인증을 받은 민간 클라우드 이용을 우선 검토해야되고, 클라우드서비스 이용에 있어 <행정공공기관 클라우드컴퓨팅서비스 이용안내서>를 참고하시기 바랍니다.",클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 서비스 이용 문의
클라우드 지원사업 문의,자체 클라우드 도입 절차 문의,자체 클라우드를 도입한 기관이 있는가. 만일 있다면 도입절차와 보안인증과 관련된 내용을 안내받고 싶음. 만일 자체클라우드를 도입한 기관이 없다면 기관 자체클라우드를 도입하는 절차 및 방법에 관한 매뉴얼을 받고싶음,클라우드 네이티브 구축 운영가이드 內 자체클라우드 도입방안을 참고해주시길 바랍니다.,클라우드전문지원센터 > 자료실 > 클라우드 네이티브 구축운영 가이드,자체 클라우드 관련 문의
기타 서비스 관련 문의,민간클라우드 계약 방법 문의,작년에 사업비를 지원받아 현재 민간클라우드를 사용하고 있음. 재계약을 하려고 하니 우리 기관에서 민간클라우드 비용으로 소규모의 비용이 나감. 금액이 적다보니 계약절차를 간단히 하고싶은데 행안부에서 고시한 내용을 살펴보니 입찰 및 조달청을 통해서 계약을 해야한다고 함. 금액이 적은 경우에도 조달청을 통해서 계약해야 하는가?,계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
비용 및 예산 문의 문의,클라우드 도입/전환 비용산정 문의,클라우드 서비스를 도입하고자 함. 이와 관련된 비용 산정 문의,클라우드 서비스 도입에 있어 비용은 해당 제공 서비스 업체로부터 견적 문의를 통해 받으실 수 있습니다.,,예산 및 비용
기타 서비스 관련 문의,클라우드 서비스 계약 방법 문의,클라우드 서비스를 이용하려하는데 계약을 통해 진행해야 하는지 궁금합니다. 그냥 직접 구매가 가능한가요?,계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
클라우드 지원사업 문의,전환사업 추진 여부 및 일정 문의,2023년도에 공공클라우드 전환사업 추진여부와 시작 시점 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 일정 문의
클라우드 지원사업 문의,전환사업 지원료 범위 문의,클라우드 전환사업 지원료 범위에 대한 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 지원금 문의
클라우드 지원사업 문의,전환대상 판단 여부 및 전환 신청 방법 문의,클라우드 전환을 신청하고자 함. 해당기업이 전환대상인지 판단 여부 문의 및 신청법 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 신청 방법 문의
